Автор,Цитата,Link
 --> "Александр Сергеевич Грин","Все, что изменяет нашу жизнь, — не случайность. Оно в нас самих и ждет лишь внешнего повода для выражения действием. ",http://forismatic.com/ru/8fdd8ed724/
 --> "Альберт Эйнштейн","Только те, кто предпринимает абсурдные попытки, смогут достичь невозможного. ",http://forismatic.com/ru/ccd475393f/
 --> "Ани Чоинг Долма","Люди принимают всё так серьезно, что это становится обузой для них. Учитесь больше смеяться. По мне, смех так же свят, как и молитва.",http://forismatic.com/ru/42a63b9542/
 --> "Антуан де Сент-Экзюпери","Если ты приручишь меня, мы будем нужны друг другу. Для меня ты станешь единственным во всём мире. И для тебя я стану единственным во всём мире. ",http://forismatic.com/ru/865baad62e/
 --> "Бенедикт Спиноза","Если вы хотите, чтобы жизнь улыбалась вам, подарите ей сначала свое хорошее настроение.",http://forismatic.com/ru/d057782f8a/
 --> Биллингс,"За деньги можно, конечно, купить очаровательного пса, но никакие деньги не смогут заставить его радостно вилять хвостом. ",http://forismatic.com/ru/562bd19f8b/
 --> "Брайан Трейси","Вы там, где вы есть, и тот, кто вы есть, потому что вы решили тут быть.",http://forismatic.com/ru/ea76b4906a/
 --> "Брэд Дженсен","Счастье останется недостижимым до тех пор, пока вы не изберете быть счастливыми сейчас. ",http://forismatic.com/ru/295e2d4a6b/
 --> "Брюс Ли","Даже самое крепкое дерево сломать проще, чем побеги бамбука или ивы, изгибающиеся на ветру. ",http://forismatic.com/ru/d842a950e5/
 --> "Брюс Ли","В бою всегда побеждает спонтанность. Зубрёжка всегда проигрывает. ",http://forismatic.com/ru/1f3d8d6711/
 --> "Будда Гаутама","Один день жизни обладающего кипучей энергией лучше столетнего существования ленивого и лишённого энергии человека. ",http://forismatic.com/ru/d9b84df4f4/
 --> "Будда Гаутама","Даже ливень из золотых монет не принесет удовлетворения страстям. Мудр тот, кто знает: страсти болезненны и мало от них радости. ",http://forismatic.com/ru/3de49ac27a/
 --> "Будда Гаутама","Пока зло не созреет, глупец считает его подобным мёду. Когда же зло созреет, тогда глупец предается горю. ",http://forismatic.com/ru/cc0b4804c1/
 --> "Будда Гаутама","Одно полустишие, услышав которое становятся спокойными, лучше тысячи стихов, составленных из бесполезных слов.",http://forismatic.com/ru/122eb4f434/
 --> "Будда Гаутама","Не привязывайся к приятному и никогда — к неприятному. Не видеть приятное и видеть неприятное — зло.",http://forismatic.com/ru/0e0e743794/
 --> "Будда Гаутама","Все, что мы собой представляем, создано нашими мыслями.",http://forismatic.com/ru/9a75f4f7fb/
 --> "Буддийское учение","Счастливы люди, если они ничего, кроме души своей, не называют своим. Счастливы они, если живут и среди корыстных, и злых, и ненавидящих их людей, — счастье их никто не может отнять от них.",http://forismatic.com/ru/533b75d878/
 --> Вергилий,"Они все могут, потому что уверены, что могут все. ",http://forismatic.com/ru/7a84fd4f7f/
 --> "Винс Ломбарди","Не важно, как часто вы падаете. Важно, как часто вы поднимаетесь. ",http://forismatic.com/ru/f52424c5e1/
 --> "Генри Драммонд","Если человек не предпринимает попытки сделать больше, чем он может, то ему никогда не удастся сделать все, на что он способен.",http://forismatic.com/ru/002b958b08/
 --> "Генрих Гейне","Величие мира всегда находится в соответствии с величием духа, смотрящего на него. Добрый находит здесь на земле свой рай, злой имеет уже здесь свой ад. ",http://forismatic.com/ru/3a7403a94b/
 --> "Генрих Гейне ","Для любви не существует вчера, любовь не думает о завтра. Она жадно тянется к нынешнему дню, но этот день нужен ей весь, неограниченный, не омраченный. ",http://forismatic.com/ru/90499d3d22/
 --> Гете,"Всякий обладает достаточной силой, чтобы исполнить то, в чем убежден. ",http://forismatic.com/ru/cdbcabebe3/
 --> Гораций,"Несчастье имеет свойство вызывать таланты, которые в счастливых обстоятельствах оставались бы спящими. ",http://forismatic.com/ru/18cd0408a6/
 --> "Даррен Аронофски","Я пытаюсь жить так, чтобы ни о чем не жалеть, я всегда выбираю ту дорогу, к которой меня толкает мое желание. Я иду за своей мечтой, а это — единственно верный путь.",http://forismatic.com/ru/712e2e07ed/
 --> "Джордж Сантаяна","Трудное — это то, что можно сделать сразу, невозможное — то, на что потребуется некоторое время. ",http://forismatic.com/ru/a904b9006f/
 --> "Дипак Чопра","Настоящий успех — это переживание чуда. Это ощущение чуда всюду, куда бы вы ни пошли, во всем, на что бы ни упал ваш взор — в глазах ребенка, в красоте цветка, в полете птицы. ",http://forismatic.com/ru/a78fc86854/
 --> Кавур,"Человек, доверяющий людям, совершает в жизни меньше ошибок, чем недоверяющий. ",http://forismatic.com/ru/af3cf85d52/
 --> "Калвин Кулидж","Я никогда не имел неприятностей из-за того, чего я не сказал. ",http://forismatic.com/ru/b69225fa6b/
 --> "Карлос Кастанеда","Люди, как правило, не отдают себе отчета в том, что в любой момент могут выбросить из своей жизни все что угодно. В любое время. Мгновенно. ",http://forismatic.com/ru/2fbb180fd5/
