Автор,Цитата,Link
 --> "Авессалом Подводный","Когда судьба ставит тебе палки в колёса, ломаются лишь негодные спицы. ",http://forismatic.com/ru/c37475c91d/
 --> "Авраам Линкольн","Кто пассивно ждет — в конце концов получает ожидаемое, но только то, что осталось после тех, кто действовал энергично. ",http://forismatic.com/ru/dc5eb89f84/
 --> "Алан Алда","Вы должны покинуть город вашего комфорта и идти в пустыню вашей интуиции.",http://forismatic.com/ru/4281db049d/
 --> "Александр Дюма","Делай вид, что уважаешь себя, и тебя будут уважать. ",http://forismatic.com/ru/7d7fbf33dc/
 --> "Альберт Эйнштейн","Только те, кто предпринимает абсурдные попытки, смогут достичь невозможного. ",http://forismatic.com/ru/ccd475393f/
 --> "Антуан де Сент-Экзюпери","Если путник, взбираясь на гору, слишком занят каждым шагом и забывает сверяться с путеводной звездой, он рискует ее потерять и сбиться с пути. ",http://forismatic.com/ru/5fb768b56c/
 --> "Антуан де Сент-Экзюпери","Зорко одно лишь сердце. Самого главного глазами не увидишь. ",http://forismatic.com/ru/794afe2317/
 --> Аристотель,"Свободный человек — тот, который существует ради себя, а не ради другого. ",http://forismatic.com/ru/2d3a62375a/
 --> "Артур Шопенгауэр","Никто не жил в прошлом, никому не придется жить в будущем; настоящее и есть форма жизни. ",http://forismatic.com/ru/2b3f6cf6fa/
 --> "Артур Шопенгауэр","Жизнь и сновидения — страницы одной и той же книги. ",http://forismatic.com/ru/4c0bb6f32e/
 --> "Бетти Риз","Если вы думаете что слишком малы, что бы быть эффективным, то вы никогда не засыпали с комаром в комнате. ",http://forismatic.com/ru/bec5e75225/
 --> "Би Дорси Орли","Завтра будет то, что, должно быть, и не будет ничего из того, что быть не должно — не суетись. ",http://forismatic.com/ru/87ea197ce1/
 --> Биант,"Все свое я ношу с собой.",http://forismatic.com/ru/7da6d98d0f/
 --> "Будда Гаутама","Один день жизни обладающего кипучей энергией лучше столетнего существования ленивого и лишённого энергии человека. ",http://forismatic.com/ru/d9b84df4f4/
 --> "Будда Гаутама","Пусть смотрит мудрец не на ошибки других, на сделанное и несделанное другими, но на сделанное и несделанное им самим. ",http://forismatic.com/ru/e1d1709932/
 --> "Будда Гаутама","Он не находит удовлетворения даже в небесных удовольствиях. Полностью просветлённый ученик радуется только уничтожению желания. ",http://forismatic.com/ru/c95af52122/
 --> "Будда Гаутама","Пусть мудрец усилием, серьёзностью, самоограничением и воздержанием сотворит остров, который нельзя сокрушить потоком. ",http://forismatic.com/ru/94c879b3cf/
 --> "Будда Гаутама","Наша жизнь — следствие наших мыслей; она рождается в нашем сердце, она творится нашей мыслью. Если человек говорит и действует с доброю мыслью — радость следует за ним как тень, никогда не покидающая. ",http://forismatic.com/ru/4693ddb566/
 --> "Будда Гаутама","Как крепкая скала не может быть сдвинута ветром, так мудрецы непоколебимы среди хулений и похвал. ",http://forismatic.com/ru/298f67859c/
 --> "Будда Гаутама","Ведь что должно быть сделано, откладывается; что не нужно делать, наоборот, делается. У таких беспечных и заносчивых увеличиваются желания. ",http://forismatic.com/ru/cffbb4e038/
 --> "Бхагавад-Гита","Тот, кто контролирует себя и ни к чему не привязан, и кто не интересуется материальными наслаждениями, может через отречение достичь высочайшей совершенной степени свободы.",http://forismatic.com/ru/d627985d06/
 --> Вантала,"Узнавая, ты узнаешь не все. ",http://forismatic.com/ru/dbc4c765e8/
 --> Вантала,"Не иди по течению, не иди против течения, иди поперек него, если хочешь достичь берега. ",http://forismatic.com/ru/3cc59f001b/
 --> Вергилий,"Они все могут, потому что уверены, что могут все. ",http://forismatic.com/ru/7a84fd4f7f/
 --> "Виктор Гюго","Первый симптом любви у молодого человека — робость, а у девушки — смелость. ",http://forismatic.com/ru/b3471977bf/
 --> "Винс Ломбарди","Не важно, как часто вы падаете. Важно, как часто вы поднимаетесь. ",http://forismatic.com/ru/f52424c5e1/
 --> Вольтер,"Есть ли кто нибудь настолько мудрый, чтобы учиться на опыте других? ",http://forismatic.com/ru/9776285644/
 --> Вольтер,"Я чту Великое Всемогущество, мне не подобает ограничивать его, я ничего не утверждаю, я довольствуюсь убеждением, что на свете гораздо больше возможных вещей, чем мы думаем. ",http://forismatic.com/ru/887e1d9dcb/
 --> "Ганс Сакс","Когда боишься — действуй смело. И ты избегнешь худших бед.",http://forismatic.com/ru/fdb0023f06/
 --> "Генри Бигер","Ни один человек, совершивший достойный поступок, никогда не получил в награду меньше, чем отдал. ",http://forismatic.com/ru/eb098e399b/
 --> "Генри Форд","Не бойся будущего и не относись с почтением к прошлому. Неудачи лишь дают повод начать снова и более умно.",http://forismatic.com/ru/b0e61765c6/
 --> "Герберт Келлехер","Если вы достаточно безумны, чтобы заниматься делом, которое любите — вы обречены прожить жизнь, полную смысла.",http://forismatic.com/ru/193f333a4c/
 --> "Герш Ицкович Будкер","Никогда не делай то, что делают другие. Это на 100% обрекает на неудачу. ",http://forismatic.com/ru/8fa0a6d896/
 --> "Готфрид Вильгельм Лейбниц ","Когда какая-нибудь вещь среди творений Бога кажется нам достойной порицания, мы должны заключить, что она недостаточно нами понята и что мудрец, который постиг бы ее, решил бы, что невозможно даже желать чего-либо лучшего.",http://forismatic.com/ru/92e66e7b71/
 --> "Гуань-Цзы","Не задерживай того, что уходит, и не отталкивай того, что приходит, тогда счастье возвратится само собой.",http://forismatic.com/ru/d318cac706/
 --> "Давид Самойлов","На свете чудес нет, есть только знания, постигаемые нами в той или иной степени.",http://forismatic.com/ru/3ae5b06883/
 --> "Дейл Карнеги","Выражение, которое человек носит на лице, гораздо важнее, чем одежда, которую он носит на теле. ",http://forismatic.com/ru/51004112e5/
 --> "Джек Лондон","Все прекрасное прекрасно до тех пор, пока ты им не обладаешь. ",http://forismatic.com/ru/e035f06390/
 --> "Джи Вилкс","Кого любишь, с тем надо быть. Кому веришь, с тем говорить.",http://forismatic.com/ru/ed3a311598/
 --> "Джим Рон","Не иди позади меня — возможно, я не поведу тебя. Не иди впереди меня — возможно, я не последую за тобой. Иди рядом, и мы будем одним целым.",http://forismatic.com/ru/6a96f3cf02/
 --> "Дипак Чопра","Наилучший способ подготовиться к любому мгновению в будущем — полностью осознавать настоящее. ",http://forismatic.com/ru/dbb489aa84/
 --> "Дипак Чопра","Все, на что вы направляете свое внимание, приобретает в вашей жизни большую силу. Все, что вы лишаете своего внимания, блекнет, разрушается и исчезает. ",http://forismatic.com/ru/ba83d89e7e/
 --> Екклесиаст,"Всему свое время.",http://forismatic.com/ru/0d438e1b64/
 --> "Ж. Сюард","Нет людей менее любопытных, чем те, которые ничего не знают.",http://forismatic.com/ru/3f577832e3/
 --> "Жан Гавер","Человек начинается с любви; чтобы понять человека, нужно полюбить его.",http://forismatic.com/ru/b2775b3b95/
 --> "Жан-Жак Руссо","Кто осторожнее в своих обещаниях, тот точнее в их исполнении.",http://forismatic.com/ru/65a2f452c7/
 --> "Зигмунд Фрейд","Мы, взрослые, не понимаем детей, так как мы не понимаем уже больше своего собственного детства. ",http://forismatic.com/ru/953417c612/
 --> "Карл Юнг","Твое видение станет ясным, только если ты сможешь заглянуть в свое сердце. Кто смотрит наружу — видит лишь сны, кто смотрит в себя — пробуждается.",http://forismatic.com/ru/0c0f86c010/
 --> "Карлос Кастанеда","Битва происходит именно здесь, на этой земле. Мы — человеческие существа. Кто знает, что ожидает нас и какого рода силу мы можем иметь?",http://forismatic.com/ru/de1a42aa56/
 --> "Кларисса Пинкола Эстес","Истина в том, что никогда не будет полной готовности или времени, когда действительно пора.",http://forismatic.com/ru/264a9c64d9/
 --> "Кодо Саваки Роси","Неожиданный дождь прерывает спор об орошении рисовых полей. Так как в споре речь шла просто о воде на полях, то дождь решает все проблемы.",http://forismatic.com/ru/9ad4fc2a47/
 --> "Кой-Вин","Если ваши взгляды не охватывают подлинную страсть к работе, это становится пустотой, которую почти невозможно скрыть.",http://forismatic.com/ru/c2b355fadf/
 --> Конфуций,"Легче зажечь одну маленькую свечу, чем клясть темноту. ",http://forismatic.com/ru/f59f754aa1/
 --> Конфуций,"Если тебе плюют в спину, значит ты впереди. ",http://forismatic.com/ru/b691b58d11/
 --> "Кристиан Геббель","Кто верит в свою удачу, удачлив. ",http://forismatic.com/ru/cddce0ec22/
 --> "Лао Цзы","Дай человеку рыбу, и он будет сыт весь день. Научи человека ловить рыбу, и он будет сыт всю жизнь. ",http://forismatic.com/ru/a7a6531ecb/
 --> "Лао-Цзы","Чтобы вести людей за собой, иди за ними.",http://forismatic.com/ru/3aefb3ee96/
 --> "Лао-Цзы","Если вы измеряете свой успех мерой чужих похвал и порицаний, ваша тревога будет бесконечной.",http://forismatic.com/ru/eac1008977/
 --> "Лев Толстой","Во времена упадка духа надо обращаться с собой, как с больным; главное — ничего не предпринимать.",http://forismatic.com/ru/efc32642f9/
 --> "Лев Толстой","Чем большим уважением окружены предметы, обычаи, законы, тем внимательнее надо исследовать их право на уважение.",http://forismatic.com/ru/b712e13b0a/
 --> "Лев Толстой","Сколько бы раз ни пришлось тебе падать, не достигнув победы над своими страстями, — не унывай. Всякое усилие борьбы уменьшает силу страсти и облегчает победу над ней.",http://forismatic.com/ru/8bffd2629d/
 --> "Лев Толстой","Главное дело в жизни — любовь. А любить нельзя ни в прошедшем, ни в будущем. Любить можно только в настоящем, сейчас, сию минуту.",http://forismatic.com/ru/10cded4f96/
 --> "Лев Толстой","Поговори с человеком, вглядись хорошенько в его глаза, и ты почувствуешь, что ты родня ему, что ты как будто прежде, давно знал его. Отчего это? Оттого, что то, чем ты живешь, одно и то же в тебе и в нем.",http://forismatic.com/ru/1d129011ba/
 --> "Лев Толстой","Ты говоришь, что вокруг тебя все дурные люди. Если ты так думаешь, то это верный признак того, что ты сам очень плох.",http://forismatic.com/ru/0055b36238/
 --> "Лес Браун","Мнение других о вас не должно стать вашей реальностью.",http://forismatic.com/ru/e2eb10c2ef/
 --> "Луций Анней Сенека","Сделай шаг вперед — и ты поймешь, что многое не так страшно как раз потому, что больше всего пугает. ",http://forismatic.com/ru/2d85388d08/
 --> "Марк Аврелий","Приучи себя не быть невнимательным к тому, что говорит другой, и вникни сколько можешь в душу говорящего. ",http://forismatic.com/ru/1d6a3308af/
 --> "Марк Твен","Когда сомневаешься — говори правду.",http://forismatic.com/ru/0745b05211/
 --> Мольер,"Когда говорит человек в мантии и шапочке, всякая ерунда становится ученостью, а всякая глупость — разумной речью. ",http://forismatic.com/ru/e2d7897561/
 --> "Морфеус, к/ф «Матрица»","Ты можешь быстрее — предела нет. Знай, ты можешь — будь уверен. Хватит попыток — просто бей! ",http://forismatic.com/ru/8e11d94b72/
 --> "Наполеон Бонапарт","Мудрецов постигшие их бедствия возвышают, а глупцов ломают окончательно. ",http://forismatic.com/ru/cbfb18d8bd/
 --> "Оскар Уайльд","Простые удовольствия — последнее прибежище для сложных натур.",http://forismatic.com/ru/fe3dd7a112/
 --> "Питер Дракер","Эффективный человек мыслит не проблемами, он мыслит возможностями.",http://forismatic.com/ru/0886e55a8e/
 --> Платон,"Чтобы речь вышла хорошей, прекрасной, разве разум оратора не должен постичь истину того, о чем он собирается говорить? ",http://forismatic.com/ru/e5aef80355/
 --> "Пьер Опостен Бомарше","Каждый человек всегда чей-нибудь ребенок.",http://forismatic.com/ru/7eed267f4e/
 --> "Ральф Эмерсон","Самая большая наша сила — это самая большая наша слабость.",http://forismatic.com/ru/e59119aa99/
 --> "Ричард Бах","Когда мы сильно привязываемся к вещам и к людям, то разве не уходит вместе с ними какая-то частица нас, когда уходят они? ",http://forismatic.com/ru/96bafbe67e/
 --> "Роберт Кийосаки","Истинный инвестор испытывает к своим инвестициям очень мало преданности. ",http://forismatic.com/ru/6a6733f902/
 --> "Ромэн Роллан","Лучше узнать истину наполовину, но собственными силами, чем узнать ее целиком, но узнать с чужих слов и выучить, как попугай.",http://forismatic.com/ru/7bf1c56479/
 --> "Свами Вивекананда","Общая совокупность всех знаний никогда не меняется, вся разница лишь в том, что иной раз она проявляется сильнее, другой раз — слабее. Но первоисточник ее — внутри нас, и лишь там может быть она отыскана.",http://forismatic.com/ru/51167c01b8/
 --> "Стефан Цвейг","Кто однажды обрел самого себя, тот уже ничего на этом свете утратить не может. И кто однажды понял человека в себе, тот понимает всех людей. ",http://forismatic.com/ru/8337ecaecb/
 --> "Сюнь Цзы","Человек должен делать те дела, которые хотя и требуют тяжелого физического труда, но успокаивают его разум.",http://forismatic.com/ru/e50587dfd5/
 --> "Тайлер Дёрден","Это твоя жизнь, и она проходит минута за минутой. ",http://forismatic.com/ru/f169b89e4a/
 --> "Теодор Рузвельт ","Делайте то, что можете, тем, что имеете, там, где вы есть.",http://forismatic.com/ru/e2f664ce8b/
 --> "Томас Манн","Истина или открывается нам в самых простых словах, или не открывается вовсе. ",http://forismatic.com/ru/4b00560ae5/
 --> "Уильям Шекспир","Мы знаем, кто мы есть, но не знаем, кем мы можем быть. ",http://forismatic.com/ru/a517adc9e1/
 --> "Уильям Шекспир","Наша личность — это сад, а наша воля — его садовник. ",http://forismatic.com/ru/f067c0da5b/
 --> "Фредерик Бегбедер","Можно долгие годы искать что-то или кого-то и в конце концов прийти к выводу, что на самом деле ты искал самого себя. ",http://forismatic.com/ru/6c307781ad/
 --> "Фридрих Ницше","В настоящем мужчине скрыто дитя, которое хочет играть. ",http://forismatic.com/ru/0e0eec5908/
 --> "Халиль Джебран","Если ты вверишь свои тайны ветру, не кори его за то, что он откроет их деревьям.",http://forismatic.com/ru/3cd106089c/
 --> "Харуки Мураками","Настоящий гений — человек, живущий в том мире, который он сам придумал и построил. ",http://forismatic.com/ru/ef1bbc857b/
 --> "Хорхе Луис Борхес","Мы судим других по поступкам, а хотим, чтобы нас судили по возможностям. ",http://forismatic.com/ru/7d497d3882/
 --> Цицерон,"Более поздние мысли обычно бывают более разумными.",http://forismatic.com/ru/57cef6b287/
 --> "Че Гевара","Я не освободитель. Освободители не существуют. Люди сами освобождают себя.",http://forismatic.com/ru/29e699c9d5/
 --> "Шакти Гавэйн","Поскольку многие из нас так и не научились по-настоящему заботиться о себе, наши взаимоотношения основаны на попытках заставить кого-то другого взять на себя эту заботу. ",http://forismatic.com/ru/63f9670e53/
 --> "Шри Ауробиндо","Нелегко, пребывая в миру, оставаться свободным и жить при этом жизнью обыкновенного человека; но именно потому, что это нелегко, мы должны постараться и сделать это.",http://forismatic.com/ru/f3f61727d7/
 --> Эзоп,"Лучше научиться поздно, чем никогда. ",http://forismatic.com/ru/9da5c227e6/
 --> Эзоп,"Лаской почти всегда добьешься больше, чем грубой силой. ",http://forismatic.com/ru/e2245c1655/
 --> "Эрих Мария Ремарк","Свободен лишь тот, кто потерял все, ради чего стоит жить.",http://forismatic.com/ru/0cbb0ab164/
 --> "Юрий Рерих","Когда человек начинает заниматься Учением, происходит будто сгущение теней. У каждого выявляются сильнее его плохие качества. Также, когда вспахивают землю, появляются сорняки. Происходит переоценка. Потому надо знать свой путь и обрести терпение.",http://forismatic.com/ru/32b16310cd/
 --> 
